Position (m),Twtt (ns),Snow height (m)
0.7000000000000001,0.29873530992605946,0.6451499323605219
0.71,0.2985744999201035,0.6448026464488195
0.72,0.2984136899141475,0.644455360537117
0.73,0.2982528799081916,0.6441080746254146
0.74,0.2981456732375543,0.6438765506842797
0.75,0.29809206990223563,0.6437607887137122
0.76,0.298038466566917,0.6436450267431448
0.77,0.29798486323159834,0.6435292647725773
0.78,0.2979312598962797,0.6434135028020098
0.79,0.29787765656096105,0.6432977408314423
0.8,0.29782405322564237,0.6431819788608748
0.81,0.29777044989032364,0.6430662168903072
0.8200000000000001,0.29771684655500497,0.6429504549197397
0.8300000000000001,0.29766324321968635,0.6428346929491723
0.84,0.2976096398843677,0.6427189309786048
0.85,0.29755603654904905,0.6426031690080373
0.86,0.29750243321373043,0.6424874070374699
0.87,0.29739522654309314,0.642255883096335
0.88,0.29728801987245584,0.6420243591552001
0.89,0.2971808132018186,0.6417928352140652
0.9,0.2970736065311813,0.6415613112729303
0.91,0.296966399860544,0.6413297873317954
0.92,0.2968055898545881,0.640982501420093
0.93,0.29664477984863225,0.6406352155083908
0.9400000000000001,0.2964839698426764,0.6402879295966886
0.9500000000000001,0.29632315983672053,0.6399406436849864
0.96,0.29616234983076467,0.6395933577732841
0.97,0.29600153982480876,0.6392460718615818
0.98,0.29584072981885284,0.6388987859498795
0.99,0.295679919812897,0.6385515000381772
1.0,0.29551910980694107,0.6382042141264749
1.01,0.29535829980098516,0.6378569282147726
1.02,0.2952510931303479,0.6376254042736377
1.03,0.2951438864597107,0.6373938803325029
1.04,0.2950366797890734,0.637162356391368
1.05,0.2948758697831175,0.6368150704796657
1.06,0.2947150597771616,0.6364677845679634
1.07,0.29460785310652426,0.6362362606268284
1.08,0.294500646435887,0.6360047366856936
1.09,0.29439343976524973,0.6357732127445587
1.1,0.29433983642993117,0.6356574507739913
1.11,0.29428623309461255,0.6355416888034239
1.12,0.29423262975929393,0.6354259268328565
1.1300000000000001,0.2941790264239753,0.6353101648622891
1.1400000000000001,0.2941254230886567,0.6351944028917217
1.1500000000000001,0.294071819753338,0.6350786409211542
1.16,0.294071819753338,0.6350786409211542
1.17,0.294071819753338,0.6350786409211542
1.18,0.294071819753338,0.6350786409211542
1.19,0.294071819753338,0.6350786409211542
1.2,0.2941254230886567,0.6351944028917217
1.21,0.2941790264239753,0.6353101648622891
1.22,0.2938038030767448,0.6344998310683169
1.23,0.293482183064833,0.6338052592449122
1.24,0.2935893897354702,0.6340367831860471
1.25,0.29369659640610746,0.6342683071271819
1.26,0.29380380307674475,0.6344998310683168
1.27,0.29391100974738205,0.6347313550094517
1.28,0.2940182164180193,0.6349628789505866
1.29,0.2941254230886565,0.6351944028917214
1.3,0.29423262975929376,0.6354259268328561
1.31,0.29433983642993106,0.635657450773991
1.32,0.2945006464358869,0.6360047366856934
1.33,0.2946614564418429,0.6363520225973958
1.34,0.2948222664477988,0.6366993085090981
1.35,0.2949830764537547,0.6370465944208005
1.36,0.29503667978907333,0.6371623563913679
1.37,0.295090283124392,0.6372781183619354
1.3800000000000001,0.2951974897950293,0.6375096423030703
1.3900000000000001,0.29530469646566654,0.6377411662442051
1.4000000000000001,0.2954119031363038,0.63797269018534
